date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:44:25	110560/110560	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:53:01%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html	(from )
22:44:26	175/175	---M--	302	error ('Found')	text/html	date:Wed,%2017%20Sep%202025%2020:44:26%20GMT	https://manuais.pages.iessanclemente.net/robots.txt		(from )
22:44:26	175/175	---M--	302	error ('Found')	text/html	date:Wed,%2017%20Sep%202025%2020:44:26%20GMT	https://manuais.pages.iessanclemente.net/images/logo-ies.png	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/images/logo-ies.png	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:26	175/175	---M--	302	error ('Found')	text/html	date:Wed,%2017%20Sep%202025%2020:44:27%20GMT	https://manuais.pages.iessanclemente.net/images/logo-ies.png	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/images/logo-ies.png	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:26	175/175	---M--	302	error ('Found')	text/html	date:Wed,%2017%20Sep%202025%2020:44:27%20GMT	https://manuais.pages.iessanclemente.net/images/logo-ies.png	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/images/logo-ies.png	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:26	5947/5947	---MCZ	200	added ('OK')	application/xml	date:Fri,%2006%20Jun%202025%2008:53:02%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.xml	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/index.xml	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:27	110548/110548	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:53:02%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.searchindex.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/index.searchindex.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:27	5452320/5452320	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:53:01%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.print.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/index.print.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:27	96518/96518	---MCZ	200	added ('OK')	text/css	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/fonts/fontawesome/css/fontawesome-all.min.css?1749199978	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/fonts/fontawesome/css/fontawesome-all.min3c2e.css	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:27	2447/2447	---MCZ	200	added ('OK')	text/css	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/css/perfect-scrollbar/perfect-scrollbar.min.css?1749199978	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/css/perfect-scrollbar/perfect-scrollbar.min3c2e.css	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:28	72900/72900	---MCZ	200	added ('OK')	text/css	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/css/theme.min.css?1749199978	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/css/theme.min3c2e.css	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:28	42111/42111	---MCZ	200	added ('OK')	text/css	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/css/format-html.min.css?1749199978	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/css/format-html.min3c2e.css	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:28	1394/1394	---MCZ	200	added ('OK')	text/css	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/css/auto-complete/auto-complete.min.css?1749199978	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/css/auto-complete/auto-complete.min3c2e.css	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:28	5900/5900	---M--	200	added ('OK')	application/javascript	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/js/auto-complete/auto-complete.min.js?1749199978	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/js/auto-complete/auto-complete.min3c2e.js	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:29	29517/29517	---M--	200	added ('OK')	application/javascript	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/js/lunr/lunr.min.js?1749199978	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/js/lunr/lunr.min3c2e.js	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:29	3647/3647	---M--	200	added ('OK')	application/javascript	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/js/lunr/lunr.stemmer.support.min.js?1749199978	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/js/lunr/lunr.stemmer.support.min3c2e.js	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:29	817/817	---M--	200	added ('OK')	application/javascript	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/js/lunr/lunr.multi.min.js?1749199978	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/js/lunr/lunr.multi.min3c2e.js	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:29	11516/11516	---M--	200	added ('OK')	application/javascript	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/js/lunr/lunr.es.min.js?1749199978	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/js/lunr/lunr.es.min3c2e.js	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:29	5308/5308	---M--	200	added ('OK')	application/javascript	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/js/search.min.js?1749199978	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/js/search.min3c2e.js	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:30	78303/78303	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:30	2192940/2192940	---M--	200	added ('OK')	application/javascript	date:Fri,%2006%20Jun%202025%2008:53:00%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/searchindex.es.js?1749199978	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/searchindex.es3c2e.js	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:30	113835/113835	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Jun%202025%2008:52:44%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/images/logo-ies.png	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/images/logo-ies.png	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:30	79939/79939	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/00configjava/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/00configjava/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:31	94205/94205	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/00configjava/01jarfiles/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/00configjava/01jarfiles/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:31	121678/121678	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/00configjava/02jarwithmaven/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/00configjava/02jarwithmaven/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:31	134037/134037	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/00configjava/03dependencias/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/00configjava/03dependencias/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:31	78550/78550	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/02javageneral/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/02javageneral/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:31	129809/129809	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/02javageneral/01streamapi/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/02javageneral/01streamapi/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:32	93516/93516	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/02javageneral/02urlfiles/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/02javageneral/02urlfiles/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:32	102432/102432	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/02javageneral/03hashcode/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/02javageneral/03hashcode/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
